database_slug,source_person_id,canonical_name,reference_url,match_basis
cm0001_vanilla_original,41532,Serhat Güller,https://www.wikidata.org/wiki/Q2273309,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41533,Serhat Gülpınar,https://www.wikidata.org/wiki/Q2273311,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41664,Selim Teber,https://www.wikidata.org/wiki/Q690129,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,43968,Pini Balili,https://www.wikidata.org/wiki/Q1389115,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,44024,Hasan Çelik,https://www.wikidata.org/wiki/Q2815469,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,44029,Hasan Gültang,https://www.wikidata.org/wiki/Q10433603,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,44030,Hasan Kabze,https://www.wikidata.org/wiki/Q719346,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,44038,Hasan Sönmez,https://www.wikidata.org/wiki/Q10429658,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,44042,Hasan Üçüncü,https://www.wikidata.org/wiki/Q630587,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,52820,Mustafa Aydın,https://www.wikidata.org/wiki/Q2456748,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,52825,Aydın Dağdelen,https://www.wikidata.org/wiki/Q99673272,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,52828,Aydın Kaldırım,https://www.wikidata.org/wiki/Q130484542,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,52833,Aydın Tuna,https://www.wikidata.org/wiki/Q6081704,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,52834,Aydın Yetgin,https://www.wikidata.org/wiki/Q132967678,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,55617,Ekrem Ekşioğlu,https://www.wikidata.org/wiki/Q1323520,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,55618,Ekrem Köse,https://www.wikidata.org/wiki/Q6087061,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,56294,Azar Karadaş,https://www.wikidata.org/wiki/Q725150,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,61420,Aşkın Dilli,https://www.wikidata.org/wiki/Q134378662,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,71279,Alp Küçükvardar,https://www.wikidata.org/wiki/Q2839387,unique accent/order-insensitive token match; DOB distance 0 day(s)
